month,year,days,report_date,journey_type,journeys_millions
11,2016,30,3/31/2017,TfL Rail,3.768952
12,2016,31,3/31/2017,TfL Rail,3.586701
1,2017,31,6/30/2017,TfL Rail,3.290075
2,2017,28,6/30/2017,TfL Rail,3.516488
3,2017,31,6/30/2017,TfL Rail,3.380908
4,2017,30,9/30/2017,TfL Rail,3.708985
5,2017,31,9/30/2017,TfL Rail,3.465755
6,2017,30,9/30/2017,TfL Rail,3.295722
7,2017,31,12/31/2017,TfL Rail,3.838819
8,2017,31,12/31/2017,TfL Rail,3.734558
9,2017,30,12/31/2017,TfL Rail,3.878286
10,2017,31,3/31/2018,TfL Rail,2.872383
11,2017,30,3/31/2018,TfL Rail,3.676615
12,2017,31,3/31/2018,TfL Rail,3.379774
1,2018,31,6/30/2018,TfL Rail,3.546086
2,2018,28,6/30/2018,TfL Rail,3.678205
3,2018,31,6/30/2018,TfL Rail,4.167131
4,2018,30,9/30/2018,TfL Rail,4.478726
5,2018,31,9/30/2018,TfL Rail,4.104272
6,2018,30,9/30/2018,TfL Rail,4.140987
7,2018,31,12/31/2018,TfL Rail,4.722367
8,2018,31,12/31/2018,TfL Rail,4.684184
9,2018,30,12/31/2018,TfL Rail,4.626021
10,2018,31,3/31/2019,TfL Rail,3.859437
11,2018,30,3/31/2019,TfL Rail,4.56039
12,2018,31,3/31/2019,TfL Rail,4.397426
1,2019,31,6/30/2019,TfL Rail,4.323125
2,2019,28,6/30/2019,TfL Rail,4.478094
3,2019,31,6/30/2019,TfL Rail,4.38575
4,2019,30,9/30/2019,TfL Rail,4.628816
5,2019,31,9/30/2019,TfL Rail,4.281006
6,2019,30,9/30/2019,TfL Rail,4.260006
7,2019,31,12/31/2019,TfL Rail,4.861941
8,2019,31,12/31/2019,TfL Rail,4.895069
9,2019,30,12/31/2019,TfL Rail,4.963377
10,2019,31,3/31/2020,TfL Rail,4.346181
11,2019,30,3/31/2020,TfL Rail,5.668711
12,2019,31,3/31/2020,TfL Rail,5.240511
1,2020,31,6/30/2020,TfL Rail,0.594615
2,2020,29,6/30/2020,TfL Rail,0.700218
3,2020,31,6/30/2020,TfL Rail,1.158348
4,2020,30,9/30/2020,TfL Rail,1.636938
5,2020,31,9/30/2020,TfL Rail,1.951688
6,2020,30,9/30/2020,TfL Rail,2.221983
7,2020,31,12/31/2020,TfL Rail,2.478257
8,2020,31,12/31/2020,TfL Rail,2.123956
9,2020,30,12/31/2020,TfL Rail,2.07643
10,2020,31,3/31/2021,TfL Rail,1.218441
11,2020,30,3/31/2021,TfL Rail,1.154206
12,2020,31,3/31/2021,TfL Rail,1.363278
1,2021,31,6/30/2021,TfL Rail,2.120411
2,2021,28,6/30/2021,TfL Rail,2.312615
3,2021,31,6/30/2021,TfL Rail,2.714846
4,2021,30,9/30/2021,TfL Rail,2.806712
5,2021,31,9/30/2021,TfL Rail,2.8
6,2021,30,9/30/2021,TfL Rail,3.097643
7,2021,31,12/31/2021,TfL Rail,3.7
8,2021,31,12/31/2021,TfL Rail,3.7
9,2021,30,12/31/2021,TfL Rail,3.3
10,2021,31,3/31/2022,TfL Rail,2.4
11,2021,30,3/31/2022,TfL Rail,3.2
12,2021,31,3/31/2022,TfL Rail,3.1
1,2022,31,6/30/2022,TfL Rail,4.3747
2,2022,28,6/30/2022,TfL Rail,5.496774
3,2022,31,6/30/2022,TfL Rail,8.062123
4,2022,30,9/30/2022,TfL Rail,11.627377
5,2022,31,9/30/2022,TfL Rail,9.177708
6,2022,30,9/30/2022,TfL Rail,9.780669
7,2022,31,12/31/2022,TfL Rail,11.049603
8,2022,31,12/31/2022,TfL Rail,12.51585
9,2022,30,12/31/2022,TfL Rail,15.223201
10,2022,31,3/31/2023,TfL Rail,8.875033
11,2022,30,3/31/2023,TfL Rail,13.40484
12,2022,31,3/31/2023,TfL Rail,14.041961
